Name,Total Matches,Innings,Average Score,Strike Rate,Highest Score,Fours,Sixes,Fifties,Hundreds,Total Runs
Vivek Razdan,3,3,11.5,85.18,18.0,3.0,0.0,0.0,0.0,23
Ashok Dinda,13,5,4.2,58.33,16.0,1.0,0.0,0.0,0.0,21
Bharat Arun,4,3,10.5,65.62,8.0,2.0,0.0,0.0,0.0,21
Parthasarthi Sharma,2,2,10.0,51.28,14.0,0.0,0.0,0.0,0.0,20
Thirunavukkarasu Kumaran,8,3,6.33,70.37,8.0,2.0,0.0,0.0,0.0,19
Laxmi Shukla,3,2,9.0,94.73,13.0,1.0,0.0,0.0,0.0,18
Sujith Somasunder,2,2,8.0,25.39,9.0,1.0,0.0,0.0,0.0,16
Prashant Sridhar Vaidya,4,2,7.5,125.0,12.0,2.0,0.0,0.0,0.0,15
Yashasvi Jaiswal,1,1,15.0,68.18,15.0,3.0,0.0,0.0,0.0,15
Harshit Rana,3,1,13.0,130.0,13.0,1.0,1.0,0.0,0.0,13
Gurkeerat Singh Mann,3,3,6.5,100.0,8.0,2.0,0.0,0.0,0.0,13
Rahul Chahar,1,1,13.0,52.0,13.0,0.0,0.0,0.0,0.0,13
Rishi Dhawan,3,2,12.0,92.3,9.0,1.0,0.0,0.0,0.0,12
Gopal Sharma,11,2,5.5,45.83,7.0,0.0,0.0,0.0,0.0,11
Nilesh Kulkarni,10,5,5.5,55.0,5.0,0.0,0.0,0.0,0.0,11
Bharath Reddy,3,2,0.0,55.0,8.0,1.0,0.0,0.0,0.0,11
Bhagwath Chandrasekhar,1,1,0.0,84.61,11.0,0.0,0.0,0.0,0.0,11
Mukesh Kumar,6,2,10.0,62.5,6.0,2.0,0.0,0.0,0.0,10
Tirumalai Srinivasan,2,2,5.0,28.57,6.0,0.0,0.0,0.0,0.0,10
Wasim Jaffer,2,2,5.0,43.47,10.0,2.0,0.0,0.0,0.0,10
Dilip Rasiklal Doshi,15,5,3.0,45.0,5.0,0.0,0.0,0.0,0.0,9
Khaleel Ahmed,11,3,4.5,52.94,5.0,1.0,0.0,0.0,0.0,9
Noel David,4,2,0.0,90.0,8.0,0.0,0.0,0.0,0.0,9
Lalchand Rajput,4,4,3.0,29.03,8.0,0.0,0.0,0.0,0.0,9
Narendra Hirwani,18,7,2.0,27.58,4.0,0.0,0.0,0.0,0.0,8
